https://tinyurl.com/a13RocketTruck
ROCKET TABLES A13
MILS	METERS
0.55	200 	Highest vertical Splash
1.19	250 	
1.83	300 
2.47	350 
3.10	400 
3.74	450 
4.31	500 
4.83	550 
5.35	600 
5.88	650 
6.55	700 
7.28	750 	
8.00	800 
8.94	850 
9.89	900 
10.79	950 
11.69	1000 	High Vertical Splash 
12.5	1050 
13.25	1100 
14.00	1150 
14.74	1200 	
15.47	1250 	
16.25	1300 
17.12	1350 
18.00	1400 	symmetrical splash radius
19.03	1450 
20.06	1500 
21.05	1550 	
22.04	1600 
23.02	1650 
24.00	1700 
25.04	1750 
26.10	1800 
27.37	1850 	symmetrical splash radius
28.63	1900 
29.88	1950 
31.32	2000 
33.15	2050 
35.20	2100 	
37.62	2150 
45.02	2200	Highest horizontal splash


High Range
(requires boosting the truck up onto something,  220 meter splash, 20 second flight time)
73.00	1250 	
71.91	1300 	
70.76	1350 
69.66	1400 	
68.67	1450 	
67.68	1500 	
66.65	1550 	
65.62	1600 	
64.56	1650 	
63.46	1700 	
62.36	1750 	
61.24	1800 	
60.12	1850 	
59.00	1900 	
57.85	1950 	
56.13	2000 	



